query_id,query
Q000385,professional portable monitor
Q000386,best portable monitor
Q000387,cheap portable monitor
Q000388,professional portable monitor
Q000389,best portable monitor
Q000390,cheap portable monitor
Q000391,professional portable monitor
Q000392,best portable monitor
Q000393,cheap portable monitor
Q000394,professional portable monitor
Q000395,best portable monitor
Q000396,cheap portable monitor
Q000397,professional portable monitor
Q000398,best portable monitor
Q000399,cheap portable monitor
Q000400,professional portable monitor
Q000401,best portable monitor
Q000402,cheap portable monitor
Q000403,professional portable monitor
Q000404,best portable monitor
Q000405,cheap portable monitor
Q000406,professional portable monitor
Q000407,best portable monitor
Q000408,cheap portable monitor
Q000409,professional portable monitor
Q000410,best portable monitor
Q000411,cheap portable monitor
Q000412,professional portable monitor
Q000413,best portable monitor
Q000414,cheap portable monitor
Q000415,professional portable monitor
Q000416,best portable monitor
Q000417,cheap portable monitor
Q000418,professional portable monitor
Q000419,best portable monitor
Q000420,cheap portable monitor
Q000421,professional portable monitor
Q000422,best portable monitor
Q000423,cheap portable monitor
Q000424,professional portable monitor
Q000425,best portable monitor
Q000426,cheap portable monitor
Q000427,professional portable monitor
Q000428,best portable monitor
Q000429,cheap portable monitor
Q000430,professional portable monitor
Q000431,best portable monitor
Q000432,cheap portable monitor
Q000433,professional portable monitor
Q000434,best portable monitor
Q000435,cheap portable monitor
Q000436,professional portable monitor
Q000437,best portable monitor
Q000438,cheap portable monitor
Q000439,professional portable monitor
Q000440,best portable monitor
Q000441,cheap portable monitor
Q000442,professional portable monitor
Q000443,best portable monitor
Q000444,cheap portable monitor
Q000445,professional portable monitor
Q000446,best portable monitor
Q000447,cheap portable monitor
Q000448,professional portable monitor
Q000449,best portable monitor
Q000450,cheap portable monitor
Q000451,professional portable monitor
Q000452,best portable monitor
Q000453,cheap portable monitor
Q000454,professional portable monitor
Q000455,best portable monitor
Q000456,cheap portable monitor
Q000457,professional portable monitor
Q000458,best portable monitor
Q000459,cheap portable monitor
Q000460,professional portable monitor
Q000461,best portable monitor
Q000462,cheap portable monitor
Q000463,professional portable monitor
Q000464,best portable monitor
Q000465,cheap portable monitor
Q000466,professional portable monitor
Q000467,best portable monitor
Q000468,cheap portable monitor
Q000469,professional portable monitor
Q000470,best portable monitor
Q000471,cheap portable monitor
Q000472,professional portable monitor
Q000473,best portable monitor
Q000474,cheap portable monitor
Q000475,professional portable monitor
Q000476,best portable monitor
Q000477,cheap portable monitor
Q000478,professional portable monitor
Q000479,best portable monitor
Q000480,cheap portable monitor
Q000481,professional portable monitor
Q000482,best portable monitor
Q000483,cheap portable monitor
Q000484,professional portable monitor
Q000485,best portable monitor
Q000486,cheap portable monitor
Q000487,professional portable monitor
Q000488,best portable monitor
Q000489,cheap portable monitor
Q000490,professional portable monitor
Q000491,best portable monitor
Q000492,cheap portable monitor
Q000493,professional portable monitor
Q000494,best portable monitor
Q000495,cheap portable monitor
Q000496,professional portable monitor
Q000497,best portable monitor
Q000498,cheap portable monitor
Q000499,professional portable monitor
Q000500,best portable monitor
Q000501,cheap portable monitor
Q000502,professional portable monitor
Q000503,best portable monitor
Q000504,cheap portable monitor
Q000505,professional portable monitor
Q000506,best portable monitor
Q000507,cheap portable monitor
Q000508,professional portable monitor
Q000509,best portable monitor
Q000510,cheap portable monitor
Q000511,professional portable monitor
Q000512,best portable monitor
Q000513,cheap portable monitor
Q000514,professional portable monitor
Q000515,best portable monitor
Q000516,cheap portable monitor
Q000517,professional portable monitor
Q000518,best portable monitor
Q000519,cheap portable monitor
Q000520,professional portable monitor
Q000521,best portable monitor
Q000522,cheap portable monitor
Q000523,professional portable monitor
Q000524,best portable monitor
Q000525,cheap portable monitor
Q000526,professional portable monitor
Q000527,best portable monitor
Q000528,cheap portable monitor
Q000529,professional portable monitor
Q000530,best portable monitor
Q000531,cheap portable monitor
Q000532,professional portable monitor
Q000533,best portable monitor
Q000534,cheap portable monitor
Q000535,professional portable monitor
Q000536,best portable monitor
Q000537,cheap portable monitor
Q000538,professional portable monitor
Q000539,best portable monitor
Q000540,cheap portable monitor
Q000541,professional portable monitor
Q000542,best portable monitor
Q000543,cheap portable monitor
Q000544,professional portable monitor
Q000545,best portable monitor
Q000546,cheap portable monitor
Q000547,professional portable monitor
Q000548,best portable monitor
Q000549,cheap portable monitor
Q000550,professional portable monitor
Q000551,best portable monitor
Q000552,cheap portable monitor
Q000553,professional portable monitor
Q000554,best portable monitor
Q000555,cheap portable monitor
Q000556,professional portable monitor
Q000557,best portable monitor
Q000558,cheap portable monitor
Q000559,professional portable monitor
Q000560,best portable monitor
Q000561,cheap portable monitor
Q000562,professional portable monitor
Q000563,best portable monitor
Q000564,cheap portable monitor
Q000565,professional portable monitor
Q000566,best portable monitor
Q000567,cheap portable monitor
Q000568,professional portable monitor
Q000569,best portable monitor
Q000570,cheap portable monitor
Q000571,professional portable monitor
Q000572,best portable monitor
Q000573,cheap portable monitor
Q000574,professional portable monitor
Q000575,best portable monitor
Q000576,cheap portable monitor
Q000577,professional portable monitor
Q000578,best portable monitor
Q000579,cheap portable monitor
Q000580,professional portable monitor
Q000581,best portable monitor
Q000582,cheap portable monitor
Q000583,professional portable monitor
Q000584,best portable monitor
Q000585,cheap portable monitor
Q000586,professional portable monitor
Q000587,best portable monitor
Q000588,cheap portable monitor
Q000589,professional portable monitor
Q000590,best portable monitor
Q000591,cheap portable monitor
Q000592,professional portable monitor
Q000593,best portable monitor
Q000594,cheap portable monitor
Q000595,professional portable monitor
Q000596,best portable monitor
Q000597,cheap portable monitor
Q000598,professional portable monitor
Q000599,best portable monitor
Q000600,cheap portable monitor
Q000601,professional portable monitor
Q000602,best portable monitor
Q000603,cheap portable monitor
Q000604,professional portable monitor
Q000605,best portable monitor
Q000606,cheap portable monitor
Q000607,professional portable monitor
Q000608,best portable monitor
Q000609,cheap portable monitor
Q000610,professional portable monitor
Q000611,best portable monitor
Q000612,cheap portable monitor
Q000613,professional portable monitor
Q000614,best portable monitor
Q000615,cheap portable monitor
Q000616,professional portable monitor
Q000617,best portable monitor
Q000618,cheap portable monitor
Q000619,professional portable monitor
Q000620,best portable monitor
Q000621,cheap portable monitor
Q000622,professional portable monitor
Q000623,best portable monitor
Q000624,cheap portable monitor
Q000625,professional portable monitor
Q000626,best portable monitor
Q000627,cheap portable monitor
Q000628,professional portable monitor
Q000629,best portable monitor
Q000630,cheap portable monitor
Q000631,professional portable monitor
Q000632,best portable monitor
Q000633,cheap portable monitor
Q000634,professional portable monitor
Q000635,best portable monitor
Q000636,cheap portable monitor
Q000637,professional portable monitor
Q000638,best portable monitor
Q000639,cheap portable monitor
Q000640,professional portable monitor
Q000641,best portable monitor
Q000642,cheap portable monitor
Q000643,professional portable monitor
Q000644,best portable monitor
Q000645,cheap portable monitor
Q000646,professional portable monitor
Q000647,best portable monitor
Q000648,cheap portable monitor
Q000649,professional portable monitor
Q000650,best portable monitor
Q000651,cheap portable monitor
Q000652,professional portable monitor
Q000653,best portable monitor
Q000654,cheap portable monitor
Q000655,professional portable monitor
Q000656,best portable monitor
Q000657,cheap portable monitor
Q000658,professional portable monitor
Q000659,best portable monitor
Q000660,cheap portable monitor
Q000661,professional portable monitor
Q000662,best portable monitor
Q000663,cheap portable monitor
Q000664,professional portable monitor
Q000665,best portable monitor
Q000666,cheap portable monitor
Q000667,professional portable monitor
Q000668,best portable monitor
Q000669,cheap portable monitor
Q000670,professional portable monitor
Q000671,best portable monitor
Q000672,cheap portable monitor
Q000673,professional portable monitor
Q000674,best portable monitor
Q000675,cheap portable monitor
Q000676,professional portable monitor
Q000677,best portable monitor
Q000678,cheap portable monitor
Q000679,professional portable monitor
Q000680,best portable monitor
Q000681,cheap portable monitor
Q000682,professional portable monitor
Q000683,best portable monitor
Q000684,cheap portable monitor
Q000685,professional portable monitor
Q000686,best portable monitor
Q000687,cheap portable monitor
Q000688,professional portable monitor
Q000689,best portable monitor
Q000690,cheap portable monitor
Q000691,professional portable monitor
Q000692,best portable monitor
Q000693,cheap portable monitor
Q000694,professional portable monitor
Q000695,best portable monitor
Q000696,cheap portable monitor
Q000697,professional portable monitor
Q000698,best portable monitor
Q000699,cheap portable monitor
Q000700,professional portable monitor
Q000701,best portable monitor
Q000702,cheap portable monitor
Q000703,professional portable monitor
Q000704,best portable monitor
Q000705,cheap portable monitor
Q000706,professional portable monitor
Q000707,best portable monitor
Q000708,cheap portable monitor
Q000709,professional portable monitor
Q000710,best portable monitor
Q000711,cheap portable monitor
Q000712,professional portable monitor
Q000713,best portable monitor
Q000714,cheap portable monitor
Q000715,professional portable monitor
Q000716,best portable monitor
Q000717,cheap portable monitor
Q000718,professional portable monitor
Q000719,best portable monitor
Q000720,cheap portable monitor
Q000721,professional portable monitor
Q000722,best portable monitor
Q000723,cheap portable monitor
Q000724,professional portable monitor
Q000725,best portable monitor
Q000726,cheap portable monitor
Q000727,professional portable monitor
Q000728,best portable monitor
Q000729,cheap portable monitor
Q000730,professional portable monitor
Q000731,best portable monitor
Q000732,cheap portable monitor
Q000733,professional portable monitor
Q000734,best portable monitor
Q000735,cheap portable monitor
Q000736,professional portable monitor
Q000737,best portable monitor
Q000738,cheap portable monitor
Q000739,professional portable monitor
Q000740,best portable monitor
Q000741,cheap portable monitor
Q000742,professional portable monitor
Q000743,best portable monitor
Q000744,cheap portable monitor
Q000745,professional portable monitor
Q000746,best portable monitor
Q000747,cheap portable monitor
Q000748,professional portable monitor
Q000749,best portable monitor
Q000750,cheap portable monitor
Q000751,professional portable monitor
Q000752,best portable monitor
Q000753,cheap portable monitor
Q000754,professional portable monitor
Q000755,best portable monitor
Q000756,cheap portable monitor
Q000757,professional portable monitor
Q000758,best portable monitor
Q000759,cheap portable monitor
Q000760,professional portable monitor
Q000761,best portable monitor
Q000762,cheap portable monitor
Q000763,professional portable monitor
Q000764,best portable monitor
Q000765,cheap portable monitor
Q000766,professional portable monitor
Q000767,best portable monitor
Q000768,cheap portable monitor
Q000769,professional portable monitor
Q000770,best portable monitor
Q000771,cheap portable monitor
Q000772,professional portable monitor
Q000773,best portable monitor
Q000774,cheap portable monitor
Q000775,professional portable monitor
Q000776,best portable monitor
Q000777,cheap portable monitor
Q000778,professional portable monitor
Q000779,best portable monitor
Q000780,cheap portable monitor
Q000781,professional portable monitor
Q000782,best portable monitor
Q000783,cheap portable monitor
Q000784,professional portable monitor
Q000785,best portable monitor
Q000786,cheap portable monitor
Q000787,professional portable monitor
Q000788,best portable monitor
Q000789,cheap portable monitor
Q000790,professional portable monitor
Q000791,best portable monitor
Q000792,cheap portable monitor
Q000793,professional portable monitor
Q000794,best portable monitor
Q000795,cheap portable monitor
Q000796,professional portable monitor
Q000797,best portable monitor
Q000798,cheap portable monitor
Q000799,professional portable monitor
